review_id,pc1,pc2,cluster,archetype,k,robustness_score,frac_significant,frac_reversed,pi_ci_ratio,I2,tau2,orb_score,excess_significance,entropy_nei,n_modes,skewness,kurtosis,volatility,n_flips,stabilizes,n_pathologies,correction_pct,pct_sampling,pct_heterogeneity,pct_bias,adversarial_gap,split_verdict,cov_conformal,cov_standard,width_ratio
CD009252,0.2421,-1.2783,3,Pathological,14.0,92.7,0.073,0.0,2.65,42.3,0.1747,40.0,2.24,0.1742,1.0,-0.507,1.649,0.0,0.0,0.0,1.0,70.1,15.4,71.7,3.0,0.0,1.0,1.0,0.714,2.448
CD009298,-1.8486,0.1347,2,Healthy,11.0,100.0,0.0,0.0,1.67,9.7,0.0046,10.0,0.46,0.1487,4.0,-1.259,5.923,0.0,0.0,0.0,2.0,11.4,46.7,50.9,2.3,0.0706,0.0,1.0,0.545,4.107
CD009362,-1.2303,1.3354,2,Healthy,27.0,100.0,1.0,0.0,1.8,7.5,0.0607,0.0,-1.26,0.1126,1.0,1.109,1.237,6.25,2.0,1.0,2.0,0.6,34.0,65.8,0.2,0.1852,0.0,1.0,0.333,4.875
CD009417,-0.183,-0.7165,3,Pathological,5.0,29.37,0.0556,0.0,2.68,33.7,0.0438,10.0,-0.44,0.1481,2.0,2.511,4.6,0.0,0.0,0.0,2.0,107.5,19.4,33.5,41.8,1.4348,1.0,1.0,1.0,2.842
CD009508,2.1754,-0.6767,1,Moderate,10.0,18.9,0.189,0.0,2.79,59.8,0.5647,55.0,2.36,0.2922,2.0,1.989,6.001,8.93,3.0,1.0,1.0,37.3,11.4,52.7,33.2,0.1155,1.0,0.9,0.7,1.328
CD009531,-3.7152,-0.7855,2,Healthy,8.0,66.67,0.0,0.0,1.25,0.0,0.0,0.0,-0.6,0.0594,1.0,0.793,-0.377,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.3017,0.0,1.0,0.75,1.761
CD009535,3.2209,0.5246,1,Moderate,9.0,46.03,0.4603,0.0,3.2,83.7,0.0466,65.0,1.52,0.1384,3.0,0.206,-0.152,41.67,5.0,1.0,3.0,40.6,6.9,41.8,47.5,0.0932,1.0,0.889,0.889,1.849
CD009609,1.0984,-0.1089,1,Moderate,8.0,55.38,0.5538,0.0,2.4,42.0,0.0877,30.0,0.16,0.2573,4.0,0.361,16.071,12.5,2.0,1.0,1.0,0.5,27.0,72.7,0.0,0.0479,1.0,0.75,0.625,1.726
CD009679,0.3009,-0.7433,3,Pathological,24.0,89.27,0.0197,0.0,3.2,50.8,0.4996,25.0,0.35,0.1301,2.0,-0.134,0.294,0.0,0.0,0.0,1.0,298.8,10.3,84.2,0.0,0.164,1.0,1.0,0.75,5.458
CD009730,-2.3321,-1.0927,2,Healthy,10.0,45.45,0.0332,0.0332,1.6,8.4,0.1151,0.0,-0.27,0.1384,1.0,-0.574,0.245,0.0,0.0,0.0,0.0,495.1,33.5,28.8,37.6,1.7155,0.0,1.0,0.6,2.999
CD009749,-3.215,1.5904,2,Healthy,25.0,100.0,0.0,0.0,1.06,0.0,0.0,10.0,0.21,0.1003,4.0,-0.482,11.143,0.0,0.0,0.0,2.0,40.0,82.5,0.0,17.5,0.289,0.0,0.88,0.4,8.092
CD009788,-0.5529,-0.8708,3,Pathological,5.0,20.9,0.209,0.0,1.97,6.0,0.0116,10.0,-0.13,0.2006,2.0,-6.726,46.383,12.5,1.0,0.0,3.0,16.0,47.4,22.4,29.9,0.0589,1.0,0.8,0.8,2.376
CD010001,0.6048,0.6407,1,Moderate,25.0,66.67,0.6667,0.0,2.54,21.3,0.0295,25.0,1.99,0.1326,2.0,0.544,0.391,4.55,2.0,1.0,1.0,15.5,12.5,60.2,26.9,0.1976,1.0,0.88,0.56,2.139
CD010145,-2.7171,0.2426,2,Healthy,9.0,73.33,0.7333,0.0,1.21,0.0,0.0,0.0,-1.6,0.0359,1.0,1.38,0.709,16.67,2.0,1.0,1.0,0.0,100.0,0.0,0.0,7.4156,1.0,1.0,0.889,2.521
CD010189,-1.2086,-2.4555,3,Pathological,6.0,62.59,0.0,0.0,2.41,33.7,0.0237,0.0,0.59,0.196,1.0,0.705,-0.747,0.0,0.0,0.0,0.0,0.0,34.2,64.9,0.0,0.1567,0.0,1.0,1.0,1.068
CD010216,-3.7723,-0.4737,2,Healthy,7.0,87.5,0.0,0.0,1.31,0.0,0.0,10.0,-0.25,0.1574,2.0,-0.119,3.502,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.2962,0.0,0.714,0.429,2.74
CD010290,-3.3134,-1.2483,2,Healthy,7.0,93.06,0.0694,0.0,1.31,0.0,0.0,0.0,-0.45,0.077,2.0,-0.35,-1.219,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,1.34
CD010779,-1.7819,-2.5853,3,Pathological,5.0,77.78,0.0,0.0,2.35,21.8,0.0298,0.0,-0.19,0.2293,1.0,-0.805,-0.364,0.0,0.0,0.0,0.0,0.0,47.7,52.2,0.0,2.4228,0.0,1.0,1.0,0.937
CD010856,3.2194,-2.2256,1,Moderate,12.0,68.99,0.6899,0.0,3.92,98.4,0.55,50.0,-2.0,0.4911,2.0,0.59,-0.384,4.17,1.0,1.0,1.0,15.7,7.4,80.9,9.5,0.7645,1.0,1.0,1.0,1.042
CD010966,-2.3878,3.9317,2,Healthy,67.0,100.0,1.0,0.0,1.02,0.0,0.0,10.0,-2.27,0.0639,4.0,1.216,11.504,1.56,1.0,1.0,2.0,10.8,74.2,0.0,25.8,0.0957,0.0,0.821,0.209,9.007
CD011039,1.3836,-3.0354,3,Pathological,5.0,67.99,0.0106,0.0,3.33,77.0,0.2468,40.0,0.99,0.3732,2.0,-1.171,1.155,6.25,0.0,0.0,0.0,0.0,23.2,74.5,0.0,0.0,1.0,0.8,1.0,0.672
CD011044,0.9048,0.7052,1,Moderate,26.0,100.0,1.0,0.0,3.19,37.1,0.0716,10.0,-0.06,0.132,2.0,0.855,2.12,4.35,2.0,1.0,3.0,3.9,10.6,86.4,0.0,0.1257,0.0,0.962,0.731,2.241
CD011120,-2.9688,-0.0609,2,Healthy,9.0,92.38,0.0095,0.0,1.21,0.0,0.0,10.0,0.6,0.0696,2.0,0.287,-0.551,0.0,0.0,0.0,1.0,26.9,83.3,0.0,16.7,0.0,1.0,1.0,0.667,3.324
CD011197,-3.8898,-0.8741,2,Healthy,6.0,90.48,0.0,0.0,1.42,0.0,0.0,0.0,-0.27,0.1467,2.0,-0.727,0.497,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0662,0.0,1.0,0.5,1.606
CD011204,1.4146,-1.4424,1,Moderate,13.0,65.08,0.6508,0.0,3.39,68.4,0.0895,25.0,-1.74,0.1938,1.0,0.704,-0.635,0.0,0.0,1.0,1.0,0.8,10.8,87.6,0.0,0.3725,1.0,1.0,1.0,1.193
CD011381,5.2911,0.8537,1,Moderate,46.0,15.47,0.1547,0.0,5.26,68.4,0.2234,65.0,8.08,0.1613,2.0,0.333,0.901,13.95,12.0,1.0,3.0,27.2,3.6,89.6,6.1,0.0325,1.0,0.848,0.717,1.347
CD011535,0.8525,1.167,1,Moderate,38.0,100.0,1.0,0.0,3.3,29.2,0.2172,30.0,3.61,0.0789,2.0,-0.422,0.28,0.0,0.0,1.0,2.0,6.0,5.9,53.9,38.9,0.2316,0.0,1.0,0.868,5.405
CD011600,-2.2573,-0.4225,2,Healthy,5.0,70.37,0.7037,0.0,1.62,0.0,0.0,0.0,-0.56,0.1762,2.0,-1.642,1.533,25.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.1314,1.0,0.8,0.6,1.428
CD011626,-0.4964,-0.3892,3,Pathological,11.0,62.17,0.0648,0.0,2.19,30.0,0.3305,0.0,-0.19,0.1175,2.0,-0.222,-0.373,12.5,2.0,0.0,2.0,40.0,18.8,49.0,30.8,1.8487,1.0,1.0,0.818,3.463
CD011627,1.1691,-2.356,3,Pathological,8.0,86.77,0.0741,0.0,3.03,68.8,0.6937,45.0,2.1,0.3181,2.0,-0.366,0.676,0.0,0.0,0.0,0.0,24.2,16.2,79.4,4.4,0.0,1.0,0.875,0.875,0.931
CD011670,-0.3452,-1.4675,3,Pathological,7.0,71.63,0.0456,0.0,2.57,45.2,0.3688,0.0,-0.19,0.2431,2.0,1.22,1.527,0.0,0.0,0.0,1.0,0.0,25.7,73.1,0.0,0.5384,1.0,0.714,0.714,0.782
CD011671,0.9537,0.1328,1,Moderate,17.0,64.55,0.6455,0.0,2.43,25.3,0.0132,15.0,1.85,0.1837,2.0,-0.53,5.472,7.14,3.0,1.0,2.0,5.8,19.0,76.1,4.8,0.0454,1.0,0.941,0.647,2.211
CD011689,3.1803,1.0132,1,Moderate,31.0,100.0,1.0,0.0,4.52,86.6,0.288,75.0,1.24,0.2042,3.0,1.711,6.675,1.34,2.0,1.0,3.0,19.8,3.5,61.5,21.1,0.1357,0.0,0.935,0.742,1.758
CD011762,-1.7019,0.5016,2,Healthy,29.0,97.14,0.0,0.0,1.99,10.3,0.0417,10.0,-0.82,0.1187,2.0,0.8,3.086,0.0,0.0,0.0,2.0,166.5,22.1,58.0,19.1,0.3242,0.0,0.931,0.345,3.35
CD011778,3.6789,-0.5516,1,Moderate,38.0,64.35,0.6435,0.0,5.98,97.4,0.1838,50.0,-5.57,0.2978,1.0,0.933,1.003,2.86,3.0,1.0,3.0,41.9,2.1,66.7,22.0,0.2002,1.0,1.0,0.947,1.453
CD011793,-3.9546,-0.4186,2,Healthy,13.0,61.9,0.0,0.0,1.12,0.0,0.0,0.0,-0.43,0.1003,2.0,-0.419,-1.213,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.9159,0.0,1.0,0.462,3.224
CD011866,0.6033,1.1934,1,Moderate,28.0,100.0,1.0,0.0,2.7,25.5,0.0154,20.0,-0.16,0.1175,4.0,0.198,3.624,5.0,5.0,1.0,1.0,0.0,15.1,84.8,0.0,0.0395,0.0,0.964,0.643,3.258
CD011885,-0.1847,-1.7596,3,Pathological,7.0,79.56,0.1627,0.0,2.4,42.6,0.1411,25.0,1.4,0.1991,2.0,0.188,2.742,3.12,0.0,0.0,0.0,0.0,29.6,69.6,0.0,0.0,1.0,1.0,0.857,1.639
CD012067,4.3389,0.0622,1,Moderate,38.0,63.25,0.6325,0.0,5.64,94.0,1.0609,60.0,-3.09,0.2318,2.0,1.407,3.14,9.29,12.0,1.0,1.0,30.2,3.1,90.0,3.0,0.1759,1.0,1.0,0.842,1.896
CD012079,4.0714,1.4808,1,Moderate,52.0,20.01,0.5897,0.3896,4.7,48.9,0.7012,30.0,2.15,0.1168,2.0,0.882,-0.006,13.27,10.0,1.0,3.0,121.6,2.1,41.3,53.8,1.157,1.0,1.0,0.788,1.651
CD012170,2.1521,-0.2268,1,Moderate,8.0,34.22,0.6578,0.0,3.07,93.9,14.5461,50.0,0.82,0.1297,2.0,1.956,2.534,0.0,0.0,0.0,3.0,64.4,12.9,65.3,15.9,1.3474,1.0,1.0,1.0,2.027
CD012178,-2.8853,-1.0701,2,Healthy,5.0,61.11,0.0,0.0,1.62,0.0,0.0,0.0,-0.16,0.097,2.0,-1.132,-0.353,0.0,0.0,0.0,2.0,49.3,94.4,0.0,5.6,0.216,0.0,1.0,1.0,1.055
CD012186,5.099,1.9564,1,Moderate,105.0,69.18,0.6918,0.0,6.67,58.1,0.1822,65.0,11.79,0.118,3.0,-0.198,2.528,0.49,1.0,1.0,3.0,1.0,2.2,94.2,1.9,0.1077,1.0,0.895,0.619,1.871
CD012268,0.7427,1.9301,1,Moderate,21.0,26.41,0.6905,0.0,2.35,45.7,0.1552,20.0,-0.47,0.0955,7.0,0.84,16.286,4.17,2.0,0.0,2.0,61.2,16.9,64.7,0.0,0.1029,1.0,1.0,0.476,5.807
CD012445,0.3215,-3.467,3,Pathological,5.0,78.57,0.0,0.0,3.29,64.4,0.1929,15.0,0.77,0.4065,1.0,-0.248,-0.935,0.0,0.0,0.0,0.0,0.0,24.3,75.7,0.0,0.2275,0.0,1.0,1.0,0.785
CD012503,-0.9439,2.5889,2,Healthy,17.0,31.22,0.3122,0.0,1.23,0.8,0.0016,20.0,-1.29,0.1141,3.0,-2.941,14.576,10.71,4.0,1.0,2.0,36.3,25.6,7.2,67.0,0.0295,1.0,1.0,0.118,10.413
CD012570,-3.2183,0.2037,2,Healthy,10.0,45.45,0.0,0.0,1.18,0.0,0.0,20.0,-0.28,0.0482,3.0,-0.327,-1.038,0.0,0.0,0.0,1.0,67.9,93.8,0.0,6.2,0.1004,0.0,0.8,0.5,1.891
CD012586,-1.1026,2.9093,2,Healthy,42.0,64.82,0.3518,0.0,1.03,0.0,0.0,20.0,0.09,0.0622,3.0,2.652,18.048,5.13,4.0,0.0,3.0,48.9,33.8,0.0,58.1,0.0534,1.0,0.929,0.452,7.465
CD012623,-0.1279,-0.8902,3,Pathological,9.0,86.83,0.1317,0.0,2.12,25.9,0.0024,40.0,2.02,0.1984,2.0,2.855,26.534,4.17,0.0,0.0,1.0,0.0,32.3,67.7,0.0,0.0106,1.0,0.778,0.778,1.492
CD012635,-1.0656,-1.1843,3,Pathological,6.0,73.47,0.0,0.0,2.26,28.0,0.0169,10.0,-0.21,0.2762,3.0,0.856,15.915,0.0,0.0,0.0,1.0,0.0,39.2,60.6,0.0,0.1374,0.0,0.667,0.667,1.528
CD012693,-0.128,-1.0409,1,Moderate,8.0,54.32,0.5432,0.0,2.17,28.7,0.1469,0.0,-0.15,0.2095,1.0,0.386,0.585,27.5,3.0,1.0,0.0,0.3,33.0,66.9,0.0,0.2687,1.0,1.0,0.625,1.975
CD012712,-0.7228,2.5057,2,Healthy,20.0,100.0,1.0,0.0,1.07,0.0,0.0,40.0,6.19,0.0716,2.0,-2.599,6.84,2.94,1.0,1.0,2.0,9.2,17.1,0.0,82.9,0.0151,0.0,0.9,0.35,6.473
CD012718,2.6596,-2.7039,1,Moderate,5.0,64.55,0.6455,0.0,3.68,83.6,0.0559,30.0,-0.89,0.4779,1.0,-0.122,-1.043,18.75,2.0,1.0,1.0,0.0,19.5,80.3,0.0,0.1209,1.0,1.0,1.0,0.853
CD012850,-2.0727,-1.08,2,Healthy,5.0,66.67,0.0,0.0,2.01,9.5,0.0069,0.0,-0.18,0.2601,3.0,-1.409,9.206,0.0,0.0,0.0,1.0,0.0,64.9,35.0,0.0,0.3178,0.0,0.6,0.6,1.396
CD012891,2.634,0.0922,1,Moderate,13.0,62.81,0.6281,0.0,3.28,74.9,0.2034,35.0,0.91,0.2212,1.0,-0.873,0.168,17.5,6.0,1.0,3.0,46.5,4.9,37.2,55.8,0.4124,1.0,0.769,0.846,0.915
CD012905,1.6144,-0.0414,1,Moderate,12.0,50.18,0.5018,0.0,2.59,42.3,0.063,25.0,1.97,0.1714,2.0,2.398,14.001,19.44,4.0,1.0,2.0,5.0,18.9,79.1,1.8,0.1248,1.0,0.833,0.833,2.309
CD012925,1.5506,-2.0304,3,Pathological,6.0,44.22,0.0363,0.0227,3.26,79.7,0.0469,30.0,0.35,0.3301,2.0,-2.255,4.951,0.0,0.0,0.0,2.0,135.6,7.7,33.0,47.7,0.4515,1.0,1.0,1.0,1.208
CD012942,1.7726,-1.247,3,Pathological,36.0,61.0,0.0,0.0,4.39,51.7,0.0432,55.0,5.77,0.1514,2.0,-0.348,-0.621,0.0,0.0,0.0,1.0,23.9,5.6,93.9,0.4,0.0469,0.0,0.972,0.861,1.543
CD012993,-0.6369,-0.9191,3,Pathological,13.0,42.86,0.0476,0.0476,2.49,32.3,0.11,0.0,0.38,0.156,1.0,0.813,-0.361,10.0,2.0,0.0,1.0,221.7,5.3,21.0,73.3,0.5587,0.0,1.0,0.846,1.711
CD013042,0.0137,0.641,3,Pathological,13.0,64.63,0.0204,0.0,2.65,48.3,0.0093,10.0,-0.6,0.1333,3.0,5.132,29.596,0.0,0.0,0.0,3.0,70.7,11.4,52.0,22.8,0.232,1.0,1.0,0.615,3.634
CD013051,3.0775,0.1738,1,Moderate,7.0,53.17,0.5317,0.0,3.41,90.1,0.2259,50.0,-0.43,0.2635,3.0,3.454,11.23,31.25,4.0,1.0,3.0,56.3,5.4,31.3,52.4,0.6209,1.0,1.0,1.0,2.244
CD013052,-3.3771,-1.0295,2,Healthy,5.0,100.0,0.0,0.0,1.62,0.0,0.0,10.0,-0.22,0.1012,2.0,-3.065,13.747,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0339,0.0,0.8,0.8,1.018
CD013054,1.1345,0.0732,1,Moderate,8.0,66.67,0.6667,0.0,2.59,47.4,0.0084,30.0,3.07,0.1487,2.0,-1.031,-0.622,0.0,0.0,1.0,2.0,52.6,2.8,9.3,87.0,0.2405,1.0,1.0,1.0,0.97
CD013059,-1.3133,-0.6406,2,Healthy,5.0,10.58,0.1058,0.0,1.62,0.0,0.0,0.0,-0.87,0.18,2.0,-1.89,3.148,25.0,1.0,0.0,3.0,15.6,66.3,0.0,33.7,0.0,1.0,1.0,0.8,1.439
CD013071,-4.0125,0.3125,2,Healthy,16.0,100.0,0.0,0.0,1.09,0.0,0.0,0.0,-0.95,0.1062,2.0,0.254,4.281,0.0,0.0,0.0,1.0,5.0,97.2,0.0,2.8,0.3084,0.0,0.875,0.375,4.34
CD013105,-0.2906,-2.0391,3,Pathological,5.0,68.52,0.037,0.0,2.9,49.3,0.4552,0.0,-0.2,0.1853,2.0,-1.277,-0.298,0.0,0.0,0.0,1.0,0.0,30.2,66.0,0.0,1.6195,1.0,1.0,1.0,1.056
CD013197,3.7666,-0.416,1,Moderate,64.0,60.61,0.0674,0.0024,6.25,69.2,1.2938,55.0,8.57,0.1247,3.0,-0.002,-0.843,0.0,0.0,0.0,2.0,62.1,2.6,95.0,2.2,0.9018,1.0,1.0,0.984,1.259
CD013232,-3.6322,2.5107,2,Healthy,121.0,59.02,0.0,0.0,1.01,0.0,0.0,10.0,-3.29,0.0709,1.0,0.125,1.686,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.229,0.0,0.876,0.132,10.504
CD013255,2.205,-0.8261,1,Moderate,9.0,66.35,0.6635,0.0,3.32,80.6,0.1356,45.0,1.05,0.3176,1.0,0.805,-0.24,0.0,0.0,1.0,2.0,45.0,2.5,16.8,79.0,0.4384,1.0,1.0,1.0,0.926
CD013278,-2.9427,0.3626,2,Healthy,12.0,76.19,0.2381,0.0,1.14,0.0,0.0,10.0,-0.77,0.1371,2.0,-2.336,6.815,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.1114,1.0,0.833,0.333,3.289
CD013295,4.1075,1.1332,1,Moderate,66.0,66.67,0.6667,0.0,5.27,52.3,0.206,55.0,8.56,0.1322,2.0,-0.371,0.827,3.97,6.0,1.0,2.0,16.2,3.4,87.8,7.9,0.1423,1.0,0.909,0.667,1.734
CD013332,0.6806,-1.4397,1,Moderate,10.0,60.61,0.6061,0.0,2.67,46.9,0.0966,0.0,0.0,0.1805,1.0,-1.3,1.241,17.86,4.0,1.0,0.0,0.0,19.2,79.3,0.0,0.4601,1.0,1.0,0.9,1.845
CD013342,0.5868,0.3913,1,Moderate,8.0,13.4,0.134,0.0,2.5,48.4,0.0826,10.0,-0.91,0.1116,3.0,2.543,6.748,15.0,3.0,0.0,3.0,28.3,17.8,53.3,25.5,0.0,1.0,0.875,0.625,1.632
CD013344,-3.7247,-1.2696,2,Healthy,6.0,66.67,0.0,0.0,1.42,0.0,0.0,0.0,-0.53,0.139,1.0,0.056,0.363,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1256,0.0,0.833,0.667,1.413
CD013353,1.3807,-0.9223,1,Moderate,6.0,68.71,0.6871,0.0,3.26,73.9,2.4296,15.0,-1.76,0.2701,2.0,-0.56,-1.432,12.5,2.0,1.0,1.0,32.1,7.8,33.8,53.7,1.4804,1.0,1.0,1.0,1.888
CD013358,1.6808,-2.1733,3,Pathological,6.0,59.41,0.0794,0.0476,3.3,78.6,0.4363,30.0,0.85,0.3332,2.0,1.039,-0.758,0.0,0.0,0.0,2.0,39.6,15.8,70.0,0.0,0.891,1.0,1.0,1.0,1.149
CD013366,-3.3443,-0.6761,2,Healthy,7.0,100.0,0.0,0.0,1.4,1.3,0.0081,0.0,-0.31,0.2072,2.0,-0.505,2.377,0.0,0.0,0.0,1.0,0.0,87.6,12.4,0.0,0.0609,0.0,1.0,0.429,2.263
CD013396,-0.4873,-1.0513,3,Pathological,16.0,96.36,0.0,0.0,2.7,40.6,0.2353,10.0,0.32,0.1736,2.0,-0.61,1.272,7.69,2.0,0.0,1.0,7.5,16.4,83.4,0.2,0.2845,0.0,0.938,0.625,2.071
CD013408,0.7577,-1.6755,1,Moderate,5.0,29.1,0.291,0.0,2.67,34.9,0.0483,0.0,0.34,0.2398,2.0,1.423,0.783,50.0,2.0,1.0,1.0,0.0,36.9,63.0,0.0,0.1365,1.0,1.0,1.0,1.131
CD013414,1.0627,-0.3957,1,Moderate,15.0,68.75,0.6875,0.0,3.04,54.7,0.1791,25.0,-2.04,0.1263,2.0,0.738,-0.544,8.33,2.0,1.0,1.0,15.0,11.3,74.8,0.0,0.0232,1.0,1.0,0.933,3.217
CD013421,2.333,-0.089,1,Moderate,15.0,66.67,0.6667,0.0,3.17,60.4,0.1345,55.0,2.49,0.2017,2.0,-1.434,4.97,8.33,2.0,1.0,2.0,13.5,9.3,67.7,21.7,0.4537,1.0,0.733,0.733,1.197
CD013425,-1.2753,2.7136,2,Healthy,21.0,98.48,0.9848,0.0,1.07,0.0,0.0,25.0,1.14,0.0822,2.0,1.878,4.03,2.78,1.0,1.0,2.0,10.4,37.9,0.0,62.1,0.2316,1.0,0.857,0.286,5.385
CD013445,3.2955,2.4337,1,Moderate,39.0,66.63,0.6663,0.0,4.34,57.2,0.0068,75.0,2.05,0.1623,5.0,3.591,35.498,6.25,3.0,1.0,3.0,59.3,1.7,29.0,67.2,0.0388,1.0,0.923,0.692,1.978
CD013456,0.2257,-0.0286,1,Moderate,12.0,67.28,0.6728,0.0,1.94,17.6,0.0369,10.0,0.23,0.1749,3.0,-1.647,6.377,16.67,4.0,1.0,1.0,0.0,33.8,64.9,0.0,0.1485,1.0,0.917,0.75,2.949
CD013462,1.8249,-1.5204,3,Pathological,17.0,55.91,0.0071,0.0,3.33,62.2,0.7111,55.0,3.84,0.207,1.0,0.311,-0.174,12.5,2.0,0.0,1.0,64.5,8.9,74.1,15.5,0.0,1.0,0.882,0.824,1.154
CD013474,0.5028,-1.7908,3,Pathological,6.0,38.1,0.0,0.0,2.81,64.0,0.0504,50.0,1.59,0.2203,3.0,-1.06,2.618,0.0,0.0,0.0,0.0,78.3,20.5,60.4,15.7,0.1441,0.0,1.0,0.833,1.895
CD013539,-3.3465,1.624,2,Healthy,29.0,85.87,0.0,0.0,1.05,0.0,0.0,20.0,-0.73,0.101,3.0,-0.881,9.257,0.0,0.0,0.0,2.0,421.3,92.5,0.0,7.5,0.107,0.0,0.931,0.241,10.287
CD013541,-4.0701,-0.6756,2,Healthy,8.0,100.0,0.0,0.0,1.25,0.0,0.0,0.0,-0.36,0.0887,1.0,-0.002,-0.308,0.0,0.0,0.0,0.0,22.8,89.0,0.0,11.0,0.6402,0.0,1.0,0.5,1.995
CD013561,-0.5071,-2.6854,3,Pathological,5.0,88.36,0.0608,0.0,2.71,36.6,0.1155,0.0,0.64,0.2977,1.0,0.73,0.568,12.5,0.0,0.0,0.0,0.0,35.7,64.0,0.0,0.3776,1.0,0.8,1.0,0.782
CD013590,-3.4688,-1.374,2,Healthy,5.0,77.78,0.0,0.0,1.62,0.0,0.0,0.0,-0.46,0.1366,1.0,1.003,-0.248,25.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.9664,0.0,1.0,0.8,2.858
CD013591,0.5372,15.1264,0,Pathological,13.0,56.46,0.5646,0.0,2.66,91.0,15.7784,50.0,-2.92,0.0,9.0,28.924,6135.376,5.0,1.0,0.0,4.0,69.6,6.6,30.7,25.7,0.1743,1.0,0.923,0.385,48.722
CD013614,1.7702,-0.5735,1,Moderate,15.0,100.0,1.0,0.0,3.64,80.0,0.1341,40.0,0.78,0.2405,1.0,0.745,-0.479,0.0,0.0,1.0,2.0,12.4,5.3,52.6,37.5,0.1844,0.0,0.933,0.933,0.916
CD013643,1.3608,-1.3843,1,Moderate,6.0,46.94,0.4694,0.0,2.71,57.5,0.5311,25.0,0.32,0.2809,3.0,-0.024,0.568,25.0,3.0,1.0,0.0,0.0,27.4,72.6,0.0,1.1641,1.0,1.0,0.833,1.24
CD013672,1.0668,-1.8867,3,Pathological,7.0,66.87,0.0397,0.0,2.99,68.7,0.0265,25.0,-0.91,0.2898,2.0,2.423,5.696,18.75,0.0,0.0,2.0,30.5,15.3,64.3,0.0,0.0,1.0,1.0,1.0,1.59
CD013715,1.631,-0.2209,1,Moderate,7.0,33.73,0.3373,0.0,2.73,55.1,0.126,25.0,-0.71,0.2288,3.0,1.295,3.359,37.5,3.0,1.0,2.0,36.0,11.8,39.1,46.7,0.2791,1.0,1.0,0.857,2.008
CD013726,1.3105,-1.3919,3,Pathological,12.0,92.43,0.0611,0.0,3.22,69.0,0.5466,40.0,1.35,0.2559,2.0,-1.142,1.809,2.78,0.0,0.0,2.0,2.4,11.3,79.6,4.7,0.0,1.0,1.0,0.75,2.101
CD013748,-2.3657,-0.982,2,Healthy,8.0,24.69,0.2469,0.0,1.25,0.0,0.0,0.0,0.13,0.1375,2.0,-1.668,3.262,10.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0517,1.0,0.875,0.875,2.034
CD013757,1.5585,-0.783,1,Moderate,6.0,33.79,0.3379,0.0,2.58,53.6,0.178,50.0,1.61,0.2762,3.0,0.058,11.238,8.33,1.0,1.0,1.0,5.6,29.4,68.1,2.4,0.0865,1.0,0.833,0.667,1.427
CD013763,-0.552,0.9021,2,Healthy,21.0,66.67,0.6667,0.0,2.1,14.3,0.0459,0.0,-1.28,0.0985,1.0,-0.484,-0.522,8.33,4.0,1.0,1.0,14.3,14.7,42.1,42.9,0.6102,1.0,0.952,0.381,2.346
CD013773,-2.6832,-0.0345,2,Healthy,7.0,65.28,0.6528,0.0,1.31,0.0,0.0,0.0,-1.43,0.0644,2.0,-0.589,1.873,12.5,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0631,1.0,0.714,0.714,1.022
CD013781,-1.2945,1.8196,2,Healthy,14.0,55.45,0.5545,0.0,1.41,4.2,0.02,0.0,-0.62,0.111,2.0,-0.189,-0.94,9.09,2.0,1.0,2.0,22.8,31.1,19.2,49.5,0.2787,1.0,1.0,0.143,4.827
CD013789,1.4508,0.0093,3,Pathological,38.0,87.42,0.1172,0.0,3.85,41.9,0.0837,40.0,2.35,0.1485,4.0,-2.39,12.435,1.43,0.0,0.0,2.0,55.4,6.8,88.0,3.0,0.0558,1.0,0.974,0.711,3.575
CD013800,5.5086,0.7365,1,Moderate,48.0,62.55,0.6268,0.0013,6.13,98.8,0.107,65.0,1.95,0.2062,4.0,-0.869,2.819,9.44,12.0,1.0,2.0,33.4,2.7,91.9,3.7,0.2472,1.0,0.979,0.875,1.357
CD013821,4.3163,-0.4832,1,Moderate,22.0,75.43,0.2257,0.0028,4.38,91.0,0.2492,80.0,4.6,0.2291,3.0,-0.343,-1.271,11.18,6.0,1.0,2.0,13.2,5.9,93.4,0.4,0.4038,1.0,0.909,0.909,0.969
CD013822,3.1525,2.0341,1,Moderate,15.0,52.18,0.5218,0.0,3.53,94.5,0.0291,70.0,-1.77,0.3436,6.0,8.154,76.436,6.25,3.0,1.0,3.0,83.5,1.3,12.0,48.7,0.0815,1.0,1.0,0.6,3.811
