review_id,pc1,pc2,cluster,archetype,k,robustness_score,frac_significant,frac_reversed,pi_ci_ratio,I2,tau2,orb_score,excess_significance,entropy_nei,n_modes,skewness,kurtosis,volatility,n_flips,stabilizes,n_pathologies,correction_pct,pct_sampling,pct_heterogeneity,pct_bias,adversarial_gap,split_verdict,cov_conformal,cov_standard,width_ratio
CD001703,-1.9027,1.5797,2,Healthy,21.0,68.18,0.6818,0.0,1.07,0.0,0.0,0.0,-0.64,0.0893,1.0,0.499,1.186,5.56,2.0,1.0,1.0,10.7,41.1,0.0,58.9,0.411,1.0,1.0,0.429,6.586
CD001797,-1.9936,-0.1529,2,Healthy,5.0,66.67,0.6667,0.0,1.62,0.0,0.0,25.0,1.02,0.1707,1.0,0.388,0.757,25.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.3221,1.0,1.0,0.4,1.991
CD001837,2.137,1.6294,1,Moderate,49.0,66.67,0.6667,0.0,4.57,45.7,0.0328,25.0,1.5,0.1449,3.0,0.874,3.307,1.09,1.0,1.0,3.0,48.5,2.1,39.0,58.2,0.1644,1.0,0.878,0.653,1.61
CD001909,-2.7697,2.7045,2,Healthy,25.0,100.0,1.0,0.0,1.06,0.0,0.0,10.0,-1.68,0.0827,2.0,0.758,0.537,9.09,4.0,1.0,2.0,0.0,100.0,0.0,0.0,0.0624,0.0,1.0,0.12,8.142
CD002042,3.7444,0.3118,1,Moderate,53.0,100.0,1.0,0.0,6.92,96.3,0.1024,50.0,-3.92,0.267,3.0,-1.219,2.382,1.25,2.0,1.0,3.0,24.3,1.6,71.0,18.0,0.081,0.0,0.962,0.906,2.073
CD002112,2.2888,1.2836,1,Moderate,21.0,66.67,0.6667,0.0,3.0,42.2,0.0275,50.0,2.14,0.1673,3.0,2.166,10.652,8.33,4.0,1.0,3.0,22.7,9.4,65.2,19.7,0.1537,1.0,0.81,0.667,2.308
CD002115,2.3784,-0.7942,1,Moderate,5.0,39.95,0.3995,0.0,3.32,74.8,0.2031,40.0,1.78,0.3068,2.0,2.941,9.126,25.0,1.0,1.0,2.0,50.9,6.7,21.1,67.6,0.5076,1.0,1.0,1.0,0.793
CD002122,5.1715,0.6322,1,Moderate,56.0,48.54,0.012,0.0011,5.41,82.0,0.3445,90.0,12.87,0.1827,2.0,-0.201,6.307,8.02,7.0,0.0,3.0,59.1,3.0,81.4,14.2,0.0,1.0,0.821,0.589,2.045
CD002203,2.3551,0.3876,1,Moderate,50.0,28.23,0.7177,0.0,4.37,38.8,0.104,40.0,4.52,0.105,1.0,0.965,1.644,0.53,0.0,0.0,3.0,60.7,4.9,84.2,7.2,0.1514,1.0,0.88,0.72,2.036
CD002243,4.9013,4.9131,1,Moderate,180.0,49.5,0.495,0.0,5.73,25.8,0.0111,50.0,4.23,0.0766,6.0,-1.529,11.887,3.95,14.0,1.0,2.0,39.4,2.0,63.1,34.7,0.0482,1.0,0.894,0.5,3.442
CD002290,2.591,-0.3381,1,Moderate,16.0,63.4,0.634,0.0,3.79,81.4,0.1187,40.0,0.12,0.2858,1.0,-1.57,2.826,7.69,2.0,1.0,3.0,59.0,2.9,31.8,57.1,0.1101,1.0,0.812,0.812,1.089
CD002303,1.3058,-1.7652,1,Moderate,5.0,64.29,0.6429,0.0,3.05,57.2,0.0268,25.0,-0.5,0.2742,2.0,0.866,0.196,25.0,2.0,1.0,0.0,0.0,28.3,71.3,0.0,0.0318,1.0,1.0,1.0,1.019
CD002971,-1.385,0.7212,2,Healthy,10.0,60.03,0.6003,0.0,1.35,2.9,0.0126,0.0,0.37,0.1297,1.0,-0.11,-0.532,35.71,3.0,1.0,1.0,13.3,50.6,16.3,33.0,0.3868,1.0,1.0,0.4,5.224
CD003218,-3.289,-0.8122,2,Healthy,5.0,66.67,0.0,0.0,1.62,0.0,0.0,0.0,-0.4,0.1464,2.0,2.146,3.487,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.8574,0.0,0.8,0.8,1.4
CD003331,-3.1354,1.6953,2,Healthy,35.0,67.59,0.0,0.0,1.04,0.0,0.0,10.0,-1.06,0.0734,2.0,-0.971,0.413,0.0,0.0,0.0,2.0,75.3,58.4,0.0,41.6,0.2785,0.0,1.0,0.171,8.107
CD003357,1.3894,-1.3641,1,Moderate,7.0,44.84,0.4484,0.0,3.04,66.9,0.2212,15.0,-0.83,0.217,2.0,0.848,-1.095,18.75,2.0,1.0,1.0,20.4,15.5,67.6,0.0,0.1796,1.0,1.0,1.0,1.784
CD003376,-3.2581,0.8572,2,Healthy,15.0,91.67,0.0,0.0,1.1,0.0,0.0,0.0,0.25,0.1265,2.0,-0.929,0.206,0.0,0.0,0.0,1.0,44.9,43.5,0.0,56.5,0.3299,0.0,1.0,0.2,5.991
CD003414,-3.5551,-0.2638,2,Healthy,16.0,61.06,0.0,0.0,1.09,0.0,0.0,15.0,1.32,0.1085,2.0,-1.238,0.927,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.1388,0.0,1.0,0.438,4.636
CD003429,-2.0343,0.2246,2,Healthy,6.0,65.08,0.0635,0.0476,1.42,0.0,0.0,0.0,-0.5,0.1032,2.0,1.295,0.197,0.0,0.0,0.0,1.0,70.6,19.5,0.0,80.5,1.347,1.0,1.0,0.667,3.003
CD003477,-1.2426,-2.1512,3,Pathological,11.0,69.44,0.0,0.0,2.42,31.6,0.0427,0.0,-0.39,0.1953,1.0,-0.329,-0.134,0.0,0.0,0.0,0.0,0.0,22.8,77.2,0.0,0.9867,0.0,0.909,0.818,1.251
CD003511,-3.1819,-0.1117,2,Healthy,8.0,92.95,0.0335,0.0,1.25,0.0,0.0,10.0,0.56,0.1294,2.0,-1.798,3.528,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.1319,1.0,1.0,0.5,5.501
CD003519,1.3375,0.7843,1,Moderate,15.0,52.08,0.5208,0.0,2.51,35.4,0.0166,35.0,1.57,0.1467,3.0,0.443,3.8,8.33,1.0,1.0,3.0,10.6,15.2,63.7,18.2,0.1086,1.0,1.0,0.667,3.249
